id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
0009ca36-f43a-49a2-8d30-10145fdf51c7,flipping.gallery,available,36.98,,70,12,8,namecheap,,
0028644c-b304-405f-8b3f-388de6b5eed6,goonholiday.gallery,available,36.98,,68,1,13,namecheap,,
005b5646-10ce-4af1-ac57-7c42428ea420,surfacemail.gallery,available,36.98,,67,1,12,namecheap,,
0090d7f9-6d72-41da-a995-f6322491c98c,tells.gallery,available,36.98,,62,7,5,namecheap,,
009ea231-296a-4978-856a-6daea358ff34,royalties.gallery,available,36.98,,56,9,9,namecheap,,
00e5ad2b-0116-4b48-af6c-f8659995c647,typed.gallery,available,36.98,,70,11,5,namecheap,,
00ef7b44-520c-4080-90bf-ae9b1da8c96f,turnedon.gallery,available,36.98,,52,3,9,namecheap,,
012c6a51-a30a-485f-a053-09e2ec09480b,adjectives.gallery,available,36.98,,50,3,10,namecheap,,
01643c4b-3a09-460b-936c-3a449187afd2,whitewine.gallery,available,36.98,,76,6,10,namecheap,,
01810025-56af-46ea-80f1-7c00c96868ec,toweather.gallery,available,36.98,,48,1,10,namecheap,,
019b4473-1513-4cca-b356-af3955900330,gobelow.gallery,available,36.98,,72,0,8,namecheap,,
01ae94e1-9f84-44ea-aa37-dce522eba515,dogsit.gallery,available,36.98,,96,2,6,namecheap,,
01cd9aa1-f8b7-4960-a4e5-831c9cf65dcf,pennies.gallery,available,36.98,,56,6,7,namecheap,,
01ce0239-da16-4644-94a0-aedf0e5e65c8,scoopup.gallery,available,36.98,,68,3,8,namecheap,,
024a36f2-c734-4b7a-ac37-e597c429da6a,sellon.gallery,available,36.98,,68,6,7,namecheap,,
028d09bd-8347-4fdc-8380-3e04d4ab7a91,goawry.gallery,available,36.98,,66,0,7,namecheap,,
028df9d2-e993-4b2e-a98e-9d7a812e5dfc,clearstuff.gallery,available,36.98,,70,1,11,namecheap,,
02c34115-97c1-4d9d-9cdb-f23907a44420,axes.gallery,available,36.98,,36,10,4,namecheap,,
02d9366a-5d80-461c-854d-cae3dd2cf5d6,ladies.gallery,available,36.98,,80,17,6,namecheap,,
030068bb-f931-401f-b300-e7b727a17829,oceans.gallery,available,36.98,,64,22,6,namecheap,,
031610ce-9213-434a-9047-aeb439832ab8,CincodeMayo.gallery,available,36.98,,68,7,13,namecheap,,
032f784f-9d5b-43d8-a1f9-3a0a5476a786,breasts.gallery,available,36.98,,50,9,7,namecheap,,
0363864a-3211-4a5b-ae5a-d45e9ee4822b,manualworker.gallery,available,36.98,,42,0,13,namecheap,,
0363f3df-abde-4303-a9bb-962ec8102817,orchestrated.gallery,available,36.98,,75,4,12,namecheap,,
039c7dfc-7375-4fa1-8d68-7bdccf7ec186,pestcontrol.gallery,available,36.98,,74,18,12,namecheap,,
03c0adf7-ec64-482c-a9bb-0208c6d7befa,Occupations.gallery,available,36.98,,50,3,11,namecheap,,
03dd5bf9-7ca3-45e0-b883-ff371994a9fd,getmedieval.gallery,available,36.98,,70,1,12,namecheap,,
03eda5aa-fc1e-40d0-ac5e-2d197e49665a,justyouwait.gallery,available,36.98,,46,1,13,namecheap,,
043c336a-5b8d-495b-b351-d7b4a00ab859,pairingoff.gallery,available,36.98,,50,0,11,namecheap,,
04885e9c-aea3-4947-a70a-10adf07115ed,daydreams.gallery,available,28.99,28.99,62,10,9,namesilo,,
